"date","game","team_num","team","score","spi"
2019-06-07,1,"1","france",4,95.32
2019-06-07,1,"2","south_korea",0,80.76
2019-06-08,2,"1","germany",1,94.17
2019-06-08,2,"2","china",0,82.1
2019-06-08,3,"1","spain",3,83.58
2019-06-08,3,"2","south_africa",1,61.51
2019-06-08,4,"1","norway",3,82.91
2019-06-08,4,"2","nigeria",0,70.9
2019-06-09,5,"1","australia",1,93.13
2019-06-09,5,"2","italy",2,71.11
2019-06-09,6,"1","brazil",3,89.12
2019-06-09,6,"2","jamaica",0,59.78
2019-06-09,7,"1","england",2,92.7
2019-06-09,7,"2","scotland",1,50.75
2019-06-10,8,"1","argentina",0,37.09
2019-06-10,8,"2","japan",0,92.29
2019-06-10,9,"1","canada",1,92.23
2019-06-10,9,"2","cameroon",0,62.53
2019-06-11,10,"1","new_zealand",0,82.98
2019-06-11,10,"2","netherlands",1,92.71
2019-06-11,11,"1","chile",0,48.96
2019-06-11,11,"2","sweden",2,85.88
2019-06-11,12,"1","usa",13,97.21
2019-06-11,12,"2","thailand",0,50.43
2019-06-12,13,"1","nigeria",2,69.3
2019-06-12,13,"2","south_korea",0,78.28
2019-06-12,14,"1","germany",1,93.86
2019-06-12,14,"2","spain",0,86.53
2019-06-12,15,"1","france",2,96.09
2019-06-12,15,"2","norway",1,84.06
2019-06-13,16,"1","australia",3,92.44
2019-06-13,16,"2","brazil",2,89.7
2019-06-13,17,"1","south_africa",0,58.24
2019-06-13,17,"2","china",1,81.9
2019-06-14,18,"1","japan",2,90.91
2019-06-14,18,"2","scotland",1,52.41
2019-06-14,19,"1","jamaica",0,58.14
2019-06-14,19,"2","italy",5,72.46
2019-06-14,20,"1","england",1,92.14
2019-06-14,20,"2","argentina",0,39.07
2019-06-15,21,"1","netherlands",3,93.62
2019-06-15,21,"2","cameroon",1,62.68
2019-06-15,22,"1","canada",2,91.94
2019-06-15,22,"2","new_zealand",0,80.85
2019-06-16,23,"1","sweden",5,86.47
2019-06-16,23,"2","thailand",1,43.51
2019-06-16,24,"1","usa",3,98.33
2019-06-16,24,"2","chile",0,47.61
2019-06-17,25,"1","south_africa",0,56.69
2019-06-17,25,"2","germany",4,93.77
2019-06-17,26,"1","china",0,82.67
2019-06-17,26,"2","spain",0,86.53
2019-06-17,27,"1","south_korea",1,76.36
2019-06-17,27,"2","norway",2,83.68
2019-06-17,28,"1","nigeria",0,71.65
2019-06-17,28,"2","france",1,96.3
2019-06-18,29,"1","jamaica",1,53.52
2019-06-18,29,"2","australia",4,92.82
2019-06-18,30,"1","italy",0,76.14
2019-06-18,30,"2","brazil",1,89.47
2019-06-19,31,"1","japan",0,90.31
2019-06-19,31,"2","england",2,91.92
2019-06-19,32,"1","scotland",3,53.98
2019-06-19,32,"2","argentina",3,39.19
2019-06-20,33,"1","netherlands",2,92.68
2019-06-20,33,"2","canada",1,93.52
2019-06-20,34,"1","cameroon",2,65.84
2019-06-20,34,"2","new_zealand",1,77.62
2019-06-20,35,"1","thailand",0,40.69
2019-06-20,35,"2","chile",2,46.53
2019-06-20,36,"1","sweden",0,88.45
2019-06-20,36,"2","usa",2,98.33
2019-06-22,37,"1","germany",3,94.93
2019-06-22,37,"2","nigeria",0,69.91
2019-06-22,38,"1","norway",1,82.62
2019-06-22,38,"2","australia",1,92.49
2019-06-23,39,"1","england",3,92.2
2019-06-23,39,"2","cameroon",0,69.69
2019-06-23,40,"1","france",2,96.61
2019-06-23,40,"2","brazil",1,89.26
2019-06-24,41,"1","spain",1,88.41
2019-06-24,41,"2","usa",2,98.49
2019-06-24,42,"1","sweden",1,87.36
2019-06-24,42,"2","canada",0,93.07
2019-06-25,43,"1","italy",2,75.68
2019-06-25,43,"2","china",0,79.99
2019-06-25,44,"1","netherlands",2,93.33
2019-06-25,44,"2","japan",1,89.81
2019-06-27,45,"1","norway",0,84.1
2019-06-27,45,"2","england",3,92.65
2019-06-28,46,"1","france",1,96.79
2019-06-28,46,"2","usa",2,98.5
2019-06-29,47,"1","italy",0,77.41
2019-06-29,47,"2","netherlands",2,93.32
2019-06-29,48,"1","germany",1,94.89
2019-06-29,48,"2","sweden",2,88.46
2019-07-02,49,"1","england",1,93.54
2019-07-02,49,"2","usa",2,98.42
2019-07-03,50,"1","netherlands",1,93.56
2019-07-03,50,"2","sweden",0,89.6
2019-07-06,51,"1","england",1,94.04
2019-07-06,51,"2","sweden",2,88.77
2019-07-07,52,"1","usa",2,98.24
2019-07-07,52,"2","netherlands",0,93.96
