"year","count","hours","count_per_hour","count_per_week"
1981,0,167,0,0
1982,0,164,0,0
1983,0,168,0,0
1984,1,178,0.00561797752808989,0.943820224719101
1985,2,143,0.013986013986014,2.34965034965035
1986,1,182,0.00549450549450549,0.923076923076923
1987,1,166.5,0.00600600600600601,1.00900900900901
1988,1,167,0.00598802395209581,1.0059880239521
1989,1,157,0.00636942675159236,1.07006369426752
1990,1,164,0.00609756097560976,1.02439024390244
1991,1,175.5,0.0056980056980057,0.957264957264957
1992,2,167,0.0119760479041916,2.01197604790419
1993,1,134,0.00746268656716418,1.25373134328358
1994,0,157.5,0,0
1995,3,186,0.0161290322580645,2.70967741935484
1996,0,149.5,0,0
1997,0,160.5,0,0
1998,0,176.5,0,0
1999,0,139,0,0
2000,3,143.5,0.0209059233449477,3.51219512195122
2001,1,153.5,0.00651465798045603,1.09446254071661
2002,3,228.3,0.0131406044678055,2.20762155059133
2003,2,248.75,0.00804020100502513,1.35075376884422
2004,5,203.75,0.0245398773006135,4.12269938650307
2005,5,245.75,0.0203458799593082,3.41810783316378
2006,3,223,0.0134529147982063,2.26008968609866
2007,4,214,0.0186915887850467,3.14018691588785
2008,9,227,0.039647577092511,6.66079295154185
2009,5,194,0.0257731958762887,4.32989690721649
2010,3,226.25,0.0132596685082873,2.22762430939227
2011,4,227.95,0.0175477078306646,2.94801491555166
2012,3,194.55,0.015420200462606,2.59059367771781
2013,11,182.2,0.0603732162458836,10.1427003293085
2014,6,179.25,0.0334728033472803,5.6234309623431
2015,7,221,0.0316742081447964,5.32126696832579
2016,3,216.65,0.0138472190168474,2.32633279483037
2017,12,198.75,0.060377358490566,10.1433962264151
